doc_id,source,category,title,text,date
pubmed_42120771,pubmed,medical,VR-Based Physical Activity and Self-Management Interventions for Glycemic Control and Behavioral Outcomes in Type 2 Diabetes: A Systematic Review and Meta-Analysis.,"VR-Based Physical Activity and Self-Management Interventions for Glycemic Control and Behavioral Outcomes in Type 2 Diabetes: A Systematic Review and Meta-Analysis.

A growing body of original research has recently investigated virtual reality (VR)-based interventions for physical activity and self-management, yet yielded inconsistent results. This systematic review and meta-analysis aims to evaluate the effectiveness of VR-based physical activity and self-management interventions in improving glycemic control and modifying health-related behaviors among patients with type 2 diabetes mellitus (T2DM). A total of 10 studies involving 1,005 adults with T2DM were included, comprising 5 randomized controlled trials (RCTs), 1 non-randomized controlled trial (nRCT), and 4 self-controlled before-after studies. Of these, participants in the intervention groups received VR-based interventions, including immersive or interactive VR programs for diabetes self-management education or physical activity promotion, with most intervention durations ranging from 8 to 24 weeks. Control groups received traditional approaches, including routine care, in-person diabetes self-management programs, and content-equivalent 2D websites. The pre-post intervention analysis revealed that glycated hemoglobin (HbA1c) levels decreased significantly post-intervention (mean difference (MD) = -0.50, 95% CI: -0.92 to -0.08, p = 0.02). While VR-based physical activity and self-management interventions did not demonstrate superior efficacy to traditional intervention methods in glycemic control or behavioral outcomes, their unique advantages - including enhanced adherence, greater accessibility, and reduced spatiotemporal constraints - position them as a viable alternative for diabetes management. Nevertheless, the field requires more rigorously designed RCTs to establish efficacy and a systematic exploration of VR implementation protocols to maximize therapeutic benefits.",2026
pubmed_42124012,pubmed,medical,Beyond Antioxidants: The Microbial Metabolic Landscape of Anthocyanins and Their Downstream Health Implications.,"Beyond Antioxidants: The Microbial Metabolic Landscape of Anthocyanins and Their Downstream Health Implications.

Anthocyanins are dietary pigments associated with reduced risk of chronic diseases, yet their low systemic bioavailability challenges the traditional direct antioxidant hypothesis. This review aims to reconceptualize anthocyanin bioactivity by proposing the gut microbiome as a key mediator that biotransforms these compounds into bioactive metabolites responsible for systemic health effects.",2026
pubmed_41926976,pubmed,medical,"Association between Great Salt Lake desiccation, air quality, and major depressive episodes: an ecological study.","Association between Great Salt Lake desiccation, air quality, and major depressive episodes: an ecological study.

The desiccation of the Great Salt Lake (UT, USA), driven by water use and diversion, has reduced water inflow and exposed vast areas of lakebed. Exposed lakebed can release airborne PM",2026
2605.13263v1,arxiv,scientific,Reentrant behavior and possible $2/3$ magnetization plateau on the double-trillium langbeinite K$_2$Ni$_2$(SO$_4$)$_3$,"Reentrant behavior and possible $2/3$ magnetization plateau on the double-trillium langbeinite K$_2$Ni$_2$(SO$_4$)$_3$

K$_2$Ni$_2$(SO$_4$)$_3$ is a member of the langbeinite family, consisting of two intertwined $S=1$ trillium lattices, out of which one is strongly coupled (strong-TL) and the other is weakly coupled (weak-TL). Further inter-trillium interactions give rise to a highly-frustrated Heisenberg Hamiltonian. Despite ordering at low temperatures, K$_2$Ni$_2$(SO$_4$)$_3$ lies close in parameter space to a spin-liquid region that surrounds the tetratrillium limit, where each triangle belonging to strong-TL turns into a tetrahedron by connecting to a single spin from weak-TL. Here, we compare the experimentally determined magnetization process using pulsed magnetic fields up to $40$ T with classical Monte Carlo calculations, uncovering a series of phase transitions at both low and intermediate fields. Furthermore, we reveal a signature of a $2/3$ magnetization plateau consisting of a $1/3$ phase on strong-TL and a fully polarized phase on weak-TL. Although in the classical limit no plateau is expected, we find a very prominent dome structure reflecting the tendency of the system to stabilize this particular spin configuration. The presence of a dome leads to a reentrant phenomenon in which the system recovers the Hamiltonian symmetries when increasing the magnetic field. Finally, we show that this plateau-like phase is also present in the classical Heisenberg model on the single trillium and tetratrillium lattices, indicating its possible presence in the large family of double-trillium langbeinite compounds. Our findings motivate future studies on the presence of the plateau phase in the quantum limit of both trillium and double-trillium materials within the langbeinite family.",2026-05-13T09:45:27Z
wiki_1990s_finnish_banking_crisis,wikipedia,financial,1990s Finnish banking crisis,"The Finnish Banking Crisis of 1990s was a deep systemic crisis of the entire Finnish financial sector that took place mainly in the years 1991–1993, after several years of debt-based economic boom in the late 1980s. Its total taxpayer cost was roughly 8% of the Finnish GNP, making it the most severe of the contemporary Nordic banking crises. The crisis has been attributed to a combination of macro-economic turbulence, weak regulation, and bank-specific problems. Governmental intervention included bank takeovers, direct monetary assistance and temporary blanket guarantees to the banks.


== Background ==
Until the 1980s, the Finnish financial market was tightly regulated: the Bank of Finland controlled interest rates, foreign exchange rates, and import and export of currency. High interest rates caused a chronic excess in potential demand vs. available supply of debt. Thus, interest rates were relatively high (Helibor ca. 10–15%), the so-called Suomi-lisä ""Finland surcharge"" versus foreign less regulated markets.
In the early 1980s the financial market was mostly deregulated, leading to a massive credit expansion largely based on foreign debt. Soaring stock and real estate prices attracted frantic speculative activity by banks, private companies and individual investors. Banks aggressively expanded their borrowing in foreign currency, including even banks such as Osuuspankki or the Säästöpankki group who did not do that earlier. For this, the period of the late 1980s is colloquially known in Finland as kasinotalous ('casino economy').


== Banks became speculators ==
The banks started to actively participate in profit-seeking, high-risk operations such as company takeovers and foreign investments, for which they had little experience.
The most active role was played by savings banks and their mutually owned central institution Säästöpankkien Keskus-Osake-Pankki (SKOP), which wanted to break free from the ""old-fashioned"" retail banking business. Some of SKOP's operations were very large compared to the bank's equity, and would later cause great losses: in 1987 it acquired Tampella (a Finnish heavy industry manufacturer that went bankrupt in 1990), and in 1988 it granted 400 million FIM of credit to a Virgin Islands hotel project.
SKOP's strategy was to use massive short-term credit, readily available from the money market, to finance their operations and long-term investments on the stock market and in corporate loans. This was often highly profitable during",
pubmed_42091767,pubmed,medical,Blood-glucose Profile Evaluation with a Model-based Approach using Continuous Glucose Monitoring Data.,"Blood-glucose Profile Evaluation with a Model-based Approach using Continuous Glucose Monitoring Data.

Continuous glucose monitoring (CGM) is widely used in type 1 diabetes management. Although less common in type 2 diabetes (T2D), its application is increasing, especially among patients with T2D on insulin therapy. CGM provides detailed, continuous glucose data that reveal daily glycemic fluctuations and help mitigate hyper- and hypoglycemic episodes. However, missing information on meal size and timing complicates the interpretation of data. To address these challenges, we propose a pharmacometric modeling approach that describes blood glucose profiles in patients with T2D receiving basal insulin in the absence of exact meal inputs. In this study, 73 individuals with T2D receiving insulin glargine plus oral antidiabetic medications (OAMs) underwent CGM assessments at four visits (Visit 3 on OAMs alone; Visits 13, 16, 20 on OAMs + insulin). Building upon the existing Integrated Glucose-Insulin (IGI) model, we incorporated a population meal model and an insulin glargine pharmacokinetic model, creating a comprehensive ""meal-IGI-insulin"" framework. The model identified three daily meal intakes, modeled as the sum of a surge function and a maximum bioavailable glucose amount of 7.83 g/hour. The model evaluation indicated adequate performance in predicting fasting blood glucose and HbA1c, though some discrepancies arose in forecasting hypoglycemic events. The developed modeling framework can facilitate prospective simulations of diverse meal patterns and insulin regimens, potentially accelerating antidiabetic drug development, simplify closed-loop automated insulin delivery algorithms, and optimize clinical strategies for patients with T2D.",2026
pubmed_42076905,pubmed,medical,The Clinical Utility of MPO/PON1 and MPO/HDL-C Ratios in Cardiovascular Risk Assessment.,The Clinical Utility of MPO/PON1 and MPO/HDL-C Ratios in Cardiovascular Risk Assessment.,2026
pubmed_23439909,pubmed,medical,The diagnosis and management of acute otitis media.,"The diagnosis and management of acute otitis media.

This evidence-based clinical practice guideline is a revision of the 2004 acute otitis media (AOM) guideline from the American Academy of Pediatrics (AAP) and American Academy of Family Physicians. It provides recommendations to primary care clinicians for the management of children from 6 months through 12 years of age with uncomplicated AOM. In 2009, the AAP convened a committee composed of primary care physicians and experts in the fields of pediatrics, family practice, otolaryngology, epidemiology, infectious disease, emergency medicine, and guideline methodology. The subcommittee partnered with the Agency for Healthcare Research and Quality and the Southern California Evidence-Based Practice Center to develop a comprehensive review of the new literature related to AOM since the initial evidence report of 2000. The resulting evidence report and other sources of data were used to formulate the practice guideline recommendations. The focus of this practice guideline is the appropriate diagnosis and initial treatment of a child presenting with AOM. The guideline provides a specific, stringent definition of AOM. It addresses pain management, initial observation versus antibiotic treatment, appropriate choices of antibiotic agents, and preventive measures. It also addresses recurrent AOM, which was not included in the 2004 guideline. Decisions were made on the basis of a systematic grading of the quality of evidence and benefit-harm relationships. The practice guideline underwent comprehensive peer review before formal approval by the AAP. This clinical practice guideline is not intended as a sole source of guidance in the management of children with AOM. Rather, it is intended to assist primary care clinicians by providing a framework for clinical decision-making. It is not intended to replace clinical judgment or establish a protocol for all children with this condition. These recommendations may not provide the only appropriate approach to the management of this problem.",2013
pubmed_29404500,pubmed,medical,Progression of liver fibrosis is associated with non-liver-related mortality in patients with nonalcoholic fatty liver disease.,"Progression of liver fibrosis is associated with non-liver-related mortality in patients with nonalcoholic fatty liver disease.

In patients with nonalcoholic fatty liver disease (NAFLD), prognosis and outcome, especially non-liver-related mortality, remain incompletely elucidated. We clarified the mortality from all causes in patients with NAFLD. A total of 4,073 patients with NAFLD diagnosed by ultrasonography were enrolled. We investigated the causes of death and analyzed the mortality from non-liver-related diseases according to the degrees of steatosis and fibrosis using the competing risk method. We used the NAFLD fibrosis score (NFS) to assess fibrosis severity and the ultrasonography fatty liver score to evaluate steatosis severity. The numbers of patients with NFS indicating low, intermediate, and high probabilities of advanced fibrosis were 2,451 (60.2%), 1,462 (35.9%), and 160 (3.9%), respectively. Of the 4,073 patients, 179 died during follow-up, but only nine deaths were due to liver-related diseases. Of the remaining 170 patients who died due to non-liver-related diseases, 83 (48.8%), 42 (24.7%), and 45 (26.5%) patients died due to malignancies, cerebrovascular and cardiovascular diseases, and benign diseases (excluding cerebrovascular and cardiovascular diseases), respectively. Multivariate analysis showed that the intermediate and high NFS groups were independently associated with each disease category: hazard ratio (HR) 2.163 (95% confidence interval [CI], 1.354-3.457) and HR 4.814 (95% CI, 2.323-9.977) for malignancies; HR 2.265 (95% CI, 1.141-4.497) and HR 8.482 (95% CI, 3.558-20.220) for cerebrovascular and cardiovascular diseases; and HR 3.216 (95% CI, 1.641-6.303) and HR 5.558 (95% CI, 1.923-16.070) for benign diseases, respectively. Conversely, the status of steatosis was not associated with risk of mortality in multivariate analysis. ",2017
pubmed_42118750,pubmed,medical,Analysis of tumor-infiltrating lymphocytes as prognostic factor in triple-negative breast cancer: A protocol of systematic review and meta-analysis.,"Analysis of tumor-infiltrating lymphocytes as prognostic factor in triple-negative breast cancer: A protocol of systematic review and meta-analysis.

Breast cancer is the most common malignant tumor among women worldwide, with an estimated 2.3 million new cases and nearly 670,000 deaths reported in 2022. The absence of hormone receptors and HER2 in triple-negative breast cancer (TNBC) reduces therapeutic options, contributing to a poorer prognosis. Tumor-infiltrating lymphocytes (TILs) are cells present in the tumor microenvironment, associated with a better prognosis and potentially playing a role in patient stratification and therapeutic management in the future. This protocol aims to assess the prognostic value of TILs in the survival of patients with TNBC, as well as their relationship with disease recurrence.",2026
pubmed_42115973,pubmed,medical,Efficacy and safety of concurrent chemoradiotherapy combined with immunotherapy for locally advanced esophageal squamous cell carcinoma: a retrospective cohort study.,"Efficacy and safety of concurrent chemoradiotherapy combined with immunotherapy for locally advanced esophageal squamous cell carcinoma: a retrospective cohort study.

Concurrent chemoradiotherapy (CCRT) is the standard treatment for unresectable esophageal squamous cell carcinoma (ESCC). However, its local control rate and overall survival (OS) gain are limited, resulting in a 5-year survival rate of only 20%. Nevertheless, combined immunotherapy (IT) and chemotherapy has demonstrated efficacy in patients with advanced esophageal cancer. This study explored a novel therapeutic strategy and aimed to evaluate the efficacy and safety of CCRT + IT versus CCRT alone in patients with locally advanced unresectable ESCC.",2026
2605.13547v1,arxiv,scientific,UNIONS-3500 Weak Lensing: III. 2D Cosmological Constraints in Configuration Space,"UNIONS-3500 Weak Lensing: III. 2D Cosmological Constraints in Configuration Space

We present the first cosmological constraints from the cosmic shear analysis of the UNIONS-3500 weak lensing galaxy catalogue in configuration space. The Ultraviolet Near Infrared Optical Northern Survey (UNIONS) is the largest and deepest photometric survey of the northern hemisphere to date, with the UNIONS-3500 catalogue using high-quality $r$-band imaging across 3500 deg2 of the sky. We perform a 2D cosmic shear analysis with a single tomographic bin, using the two-point correlation function (2PCF) statistic. Assuming a flat LCDM model, we obtain constraints on the clustering amplitude of S_8 = 0.831^{+0.067}_{-0.078}, which is consistent with constraints from Planck CMB measurements and precedent cosmic shear results within 1sigma. We outline the construction of our cosmological inference pipeline, including the estimation of the source redshift distribution, shear calibration, and covariance matrix, and describe methodologies for the mitigation of systematic effects arising from PSF systematics and B-modes. We demonstrate that our results are robust to variations in analysis choices, including scale cuts, prior ranges, and nonlinear modelling. This paper is part of a coordinated release which collectively demonstrates the maturity and readiness of UNIONS to deliver competitive cosmological results, positioning it as a key stepping stone towards the forthcoming era of Stage IV weak lensing experiments.",2026-05-13T13:55:32Z
wiki_accessory_(legal_term),wikipedia,legal,Accessory (legal term),"An accessory is a person who assists, but does not actually participate, in the commission of a crime. The distinction between an accessory and a principal is a question of fact and degree:

The principal is the one whose acts or omissions, accompanied by the relevant mens rea (Latin for ""guilty mind""), are the most immediate cause of the actus reus (Latin for ""guilty act"").
If two or more people are directly responsible for the actus reus, they can be charged as joint principals (see: Common purpose). The test to distinguish a joint principal from an accessory is whether the defendant independently contributed to causing the actus reus rather than merely giving generalised and/or limited help and encouragement.


== Elements ==
In some jurisdictions, an accessory is distinguished from an accomplice, who normally is present at the crime and participates in some way. An accessory must generally have knowledge that a crime is being committed, will be committed, or has been committed. A person with such knowledge may become an accessory by helping or encouraging the criminal in some way. The assistance to the criminal may be of any type, including emotional or financial assistance as well as physical assistance or concealment.


=== Relative severity of penalties ===
The punishment tariff for accessories varies in different jurisdictions and has varied at different periods of history. In some times and places accessories have been subject to lesser penalties than principals (the persons who actually commit the crime). In others accessories are considered the same as principals in theory, although in a particular case an accessory may be treated less severely than a principal. In some times and places accessories before the fact (i.e., with knowledge of the crime before it is committed) have been treated differently from accessories after the fact (e.g., those who aid a principal after a crime has been committed but had no role in the crime itself). Common law traditionally considers an accessory just as guilty as the principal(s) in a crime, and subject to the same penalties. Separate and lesser punishments exist by statute in many jurisdictions.


=== Conspiracy ===
In some situations, a charge of conspiracy can be made even if the primary offense is never committed, so long as the plan has been made, and at least one overt act towards the crime has been committed by at least one of the conspirators. For example, if a group plans on forging bank checks, and ",
pubmed_41810356,pubmed,medical,"Evaluating the Impact of National Essential Public Health Services Program Coverage on Hypertension Management, Medical Care Utilization and Household Socioeconomic Well-Being.","Evaluating the Impact of National Essential Public Health Services Program Coverage on Hypertension Management, Medical Care Utilization and Household Socioeconomic Well-Being.

Launched in 2009, China's National Essential Public Health Services Program (NEPHSP) has been broadly implemented throughout the country. However, rigorous evaluations of its impact on chronic disease outcomes remain limited. Hypertension, being one of the major noncommunicable diseases targeted by the program, provides an important case study for assessing its effectiveness.",2026
pubmed_42126027,pubmed,medical,Sequential BV-AVD Therapy in Richter Transformation: Insights Into the Management of Elderly Patients.,"Sequential BV-AVD Therapy in Richter Transformation: Insights Into the Management of Elderly Patients.

Hodgkin-variant Richter's transformation (HvRT) is a rare evolution of chronic lymphocytic leukemia (CLL) into a lymphoma with histological characteristics akin to those of classical Hodgkin lymphoma (cHL), overall occurring in < 1% of CLL cases. Due to its rarity, treatment is not standardized and is commonly adapted from cHL regimens, although toxicity limits their use in older or heavily pretreated patients. We describe two cases of HvRT treated with a modified sequential brentuximab vedotin-AVD-brentuximab vedotin (BV-AVD-BV) regimen, previously explored in elderly patients with cHL. Sequential BV-AVD-BV was feasible and manageable in both cases, with acceptable hematologic toxicity. One patient achieved a durable complete metabolic remission, while the other required immune checkpoint inhibitor-based salvage therapy followed by autologous stem cell transplantation, resulting in complete metabolic response. These cases suggest that sequential BV-AVD-BV may represent a tolerable and effective therapeutic option for selected patients with HvRT. Incorporation of modern Hodgkin-directed strategies, including sequential regimens and immune checkpoint inhibitors, warrants further evaluation in this rare clinical setting.",2026
wiki_2020_stock_market_crash,wikipedia,financial,2020 stock market crash,"On 20 February 2020, stock markets across the world suddenly crashed after growing instability due to the COVID-19 pandemic. The crash ended on 7 April 2020.
Beginning on 13 May 2019, the yield curve on U.S. Treasury securities inverted, and remained so until 11 October 2019, when it reverted to normal. Through 2019, while some economists (including Campbell Harvey and former New York Federal Reserve economist Arturo Estrella), argued that a recession in the following year was likely, other economists (including the managing director of Wells Fargo Securities Michael Schumacher and San Francisco Federal Reserve President Mary C. Daly) argued that inverted yield curves may no longer be a reliable recession predictor. The yield curve on U.S. Treasuries would not invert again until 30 January 2020 when the World Health Organization declared the COVID-19 outbreak to be a Public Health Emergency of International Concern, four weeks after local health commission officials in Wuhan, China announced the first 27 COVID-19 cases as a viral pneumonia strain outbreak on 1 January.
The curve did not return to normal until 3 March when the Federal Open Market Committee (FOMC) lowered the federal funds rate target by 50 basis points. In noting decisions by the FOMC to cut the federal funds rate by 25 basis points three times between 31 July and 30 October 2019, on 25 February 2020, former U.S. Under Secretary of the Treasury for International Affairs Nathan Sheets suggested that the attention of the Federal Reserve to the inversion of the yield curve in the U.S. Treasuries market when setting monetary policy may be having the perverse effect of making inverted yield curves less predictive of recessions.
During 2019, the IMF reported that the world economy was going through a 'synchronized slowdown', which entered into its slowest pace since the Great Recession. Weakness was exhibited in the consumer market as global markets began to suffer through a 'sharp deterioration' of manufacturing activity. Global growth was believed to have peaked in 2017, when the world's total industrial sector output began to start a sustained decline in early 2018. The IMF blamed 'heightened trade and geopolitical tensions' as the main reason for the slowdown, citing Brexit and the China – United States trade war as primary reasons for slowdown in 2019, while other economists blamed liquidity issues.
The crash caused a short-lived bear market, and in April 2020 global stock markets re-entered",
2605.13806v1,arxiv,scientific,Min-Max Optimization Requires Exponentially Many Queries,"Min-Max Optimization Requires Exponentially Many Queries

We study the query complexity of min-max optimization of a nonconvex-nonconcave function $f$ over $[0,1]^d \times [0,1]^d$. We show that, given oracle access to $f$ and to its gradient $\nabla f$, any algorithm that finds an $\varepsilon$-approximate stationary point must make a number of queries that is exponential in $1/\varepsilon$ or $d$.",2026-05-13T17:34:24Z
2605.13793v1,arxiv,scientific,An LLM-Based System for Argument Reconstruction,"An LLM-Based System for Argument Reconstruction

Arguments are a fundamental aspect of human reasoning, in which claims are supported, challenged, and weighed against one another. We present an end-to-end large language model (LLM)-based system for reconstructing arguments from natural language text into abstract argument graphs. The system follows a multi-stage pipeline that progressively identifies argumentative components, selects relevant elements, and uncovers their logical relations. These elements are represented as directed acyclic graphs consisting of two component types (premises and conclusions) and three relation types (support, attack, and undercut). We conduct two complementary experiments to evaluate the system. First, we perform a manual evaluation on arguments drawn from an argumentation theory textbook to assess the system's ability to recover argumentative structure. Second, we conduct a quantitative evaluation on benchmark datasets, allowing comparison with prior work by mapping our outputs to established annotation schemes. Results show that the system can adequately recover argumentative structures and, when adapted to different annotation schemes, achieve reasonable performance across benchmark datasets. These findings highlight the potential of LLM-based pipelines for scalable argument reconstruction.",2026-05-13T17:13:45Z
pubmed_42075035,pubmed,medical,Beyond Fasting Lipids: Nutritional and Clinical Perspectives on Postprandial Triglycerides.,"Beyond Fasting Lipids: Nutritional and Clinical Perspectives on Postprandial Triglycerides.

Postprandial triglyceride (TG) metabolism represents a dynamic dimension of lipid physiology that complements conventional fasting lipid assessment. Although low-density lipoprotein cholesterol (LDL-C) remains the primary therapeutic target in cardiovascular prevention, residual cardiovascular risk persists in many individuals despite apparently adequate fasting lipid control. Because most individuals spend the majority of their waking hours in a fed state, postprandial TG responses may provide clinically relevant insight into metabolic flexibility, dietary exposure, and the efficiency of TG-rich lipoprotein clearance.",2026
2605.13830v1,arxiv,scientific,Quantifying Sensitivity for Tree Ensembles: A symbolic and compositional approach,"Quantifying Sensitivity for Tree Ensembles: A symbolic and compositional approach

Decision tree ensembles (DTE) are a popular model for a wide range of AI classification tasks, used in multiple safety critical domains, and hence verifying properties on these models has been an active topic of study over the last decade. One such verification question is the problem of sensitivity, which asks, given a DTE, whether a small change in subset of features can lead to misclassification of the input. In this work, our focus is to build a quantitative notion of sensitivity, tailored to DTEs, by discretizing the input space of the model and enumerating the regions which are susceptible to sensitivity. We propose a novel algorithmic technique that can perform this computation efficiently, within a certified error and confidence bound. Our approach is based on encoding the problem as an algebraic decision diagram (ADD), and further splitting it into subproblems that can be solved efficiently and make the computation compositional and scalable. We evaluate the performance of our technique over benchmarks of varying size in terms of number of trees and depth, comparing it against the performance of model counters over the same problem encoding. Experimental results show that our tool XCount achieves significant speedup over other approaches and can scale well with the increasing sizes of the ensembles.",2026-05-13T17:52:19Z
2605.12662v1,arxiv,scientific,scShapeBench: Discovering geometry from high dimensional scRNAseq data,"scShapeBench: Discovering geometry from high dimensional scRNAseq data

High-dimensional point cloud data arise across many scientific domains, especially single-cell biology. The shapes or topologies of these datasets determine the types of information that can be extracted. For example, clustered data supports cell-type identification, trajectory structures support transition analysis, and archetypal structures capture continua of cellular behaviors. Existing analysis pipelines often assume a specific shape. The standard Seurat pipeline combines UMAP visualization with Louvain clustering and therefore assumes clustered data, while tools such as Monocle and SPADE assume tree-like structures, and flow-based models such as MIOFlow and Conditional Flow Matching target trajectories. Choosing which pipeline to apply is therefore often left to bioinformaticians who visually inspect datasets before selecting an analysis strategy. With the rise of agentic AI scientists, automating shape detection is increasingly important for selecting downstream analysis pipelines. To address this problem, we introduce scShapeBench, a benchmark dataset for shape detection containing both synthetic and expert-annotated single-cell datasets. Synthetic datasets are sampled from ground-truth skeleton graphs with controlled variance. Real single-cell datasets are curated from diverse sources and annotated by experts into four categories: clusters, single trajectory, multi-branching, and archetypal. We additionally introduce scReebTower, a baseline method that uses diffusion geometry to extract Reeb graphs and connect visualization with pipeline selection. We provide topology-aware evaluation metrics and compare scReebTower against PAGA and Mapper on synthetic and real data. Our results indicate that scReebTower outperforms existing baselines. Overall, our contributions span benchmarks, evaluation metrics, and a baseline for automated shape detection in single-cell data.",2026-05-12T19:10:38Z
pubmed_41906072,pubmed,medical,Multimodal intervention reduces seasonal carbon monoxide poisoning incidence and myocardial injury: a retrospective cohort study accounting for environmental temperature.,"Multimodal intervention reduces seasonal carbon monoxide poisoning incidence and myocardial injury: a retrospective cohort study accounting for environmental temperature.

Acute carbon monoxide poisoning remains a major global health issue, especially in winter due to unsafe heating. Despite known seasonal trends, few strategies effectively reduce both incidence and severity.",2026
pubmed_41125279,pubmed,medical,"A longitudinal, population-based, record-linked natural experiment on the effects of extreme heat events on mental health in urban communities: a study protocol.","A longitudinal, population-based, record-linked natural experiment on the effects of extreme heat events on mental health in urban communities: a study protocol.

Studies suggest that extreme heat events can have negative effects on mental health. However, characterisation of these effects in urban communities remains limited, and few studies have investigated the potential modifying effects of demographic, clinical and environmental characteristics. The aim of this study is to address this knowledge gap and quantify the impacts of extreme heat on mental health, health service use and mental well-being in vulnerable urban populations.",2025
pubmed_42090337,pubmed,medical,Continuous Glucose Monitoring-Derived Metrics and Cardiovascular Risk Among People With Diabetes: Systematic Scoping Review.,"Continuous Glucose Monitoring-Derived Metrics and Cardiovascular Risk Among People With Diabetes: Systematic Scoping Review.

Conventional clinical markers guide cardiovascular risk stratification; however, continuous glucose monitoring (CGM) data remain absent from prediction models. A synthesis of the current literature is needed to clarify the prognostic relevance of CGM data for cardiovascular outcomes in people with diabetes.",2026
2605.12698v1,arxiv,financial,Optimal investment and Pension policy in Pay-As-You-Go systems under forward utility and ageing population,"Optimal investment and Pension policy in Pay-As-You-Go systems under forward utility and ageing population

This paper investigates optimal investment and pension policies in a Pay-As-You-Go (PAYG) system supplemented by a buffer fund used as an intergenerational risk-sharing mechanism. The social planner's preference criterion is represented by non-zero volatility forward Constant Relative Risk Aversion (CRRA) utilities, and explicitly accounts for both sustainability and adequacy constraints. The optimal policies are characterized in closed form, and an in-depth analysis of the impact of preference sensitivities on the pension scheme is conducted. A detailed numerical analysis is performed to evaluate the sustainability and benefit adequacy of this hybrid PAYG buffer fund arrangement under a range of demographic, financial, and macroeconomic scenarios.
  arxiv tells me that there is a ""bad"" character help me",2026-05-12T19:49:07Z
2605.13648v1,arxiv,scientific,Sticky CIR process with potential: invariant measure and exact sampling,"Sticky CIR process with potential: invariant measure and exact sampling

We study the sticky Cox-Ingersoll-Ross (CIR) process in one dimension, a diffusion on $[0,\infty)$ with a sticky boundary condition at the origin, arising as the marginal process in a sparse Bayesian inference framework based on Hadamard-Langevin dynamics. For the parameter range $δ\in(1,2)$, in which the origin is accessible but not absorbing, we prove well-posedness of the process and uniqueness of its invariant measure, which is a mixture of a point mass at zero and a weighted gamma-type density on the interior. We derive an explicit Green's function for the resolvent in terms of confluent hypergeometric functions, and use this to construct an exact sampler for the invariant measure in the zero-potential case. For a non-trivial potential $G$, we establish existence and uniqueness of the tilted invariant measure via a Girsanov change of measure, and develop two sampling algorithms: a Metropolis-Hastings corrected sampler that targets the invariant measure exactly, and an unadjusted Langevin algorithm (ULA) that is cheaper per step but introduces an $O(h)$ bias. Numerical experiments confirm the predicted behaviour: the Metropolis-Hastings sampler achieves the target invariant measure at all step sizes, while the ULA exhibits the expected $O(h)$ bias.",2026-05-13T15:07:10Z
2605.09642v2,arxiv,financial,From Expansion to Consolidation: Socio-Spatial Contagion Dynamics in Off-Grid PV Adoption,"From Expansion to Consolidation: Socio-Spatial Contagion Dynamics in Off-Grid PV Adoption

In traditional rural societies, where social ties are embedded in physical space, the diffusion of emerging technologies may be amplified through socio-spatial contagion (SSC). Such processes may play a key role in accelerating residential PV adoption in off-grid regions. Yet empirical evidence on SSC in PV adoption remains largely limited to affluent, grid-connected settings, while off-grid regions often lack systematic installation records. To address these gaps, we use a deep learning segmentation model to extract PV installations from a decade-long series of remote sensing imagery across 507 off-grid settlement clusters (hereafter, communities). This enables data-driven spatio-temporal point pattern inference of SSC in data-scarce contexts. SSC is quantified through the range and intensity of clustering of new installations around prior adopters, and the dynamics of these dimensions are linked to adoption outcomes. We found that SSC is nearly ubiquitous, often spanning most of the community's spatial extent, while exhibiting substantial heterogeneity in intensity. Although SSC intensifies over time, its effects remain temporally concentrated, peaking within 1 to 2 years of nearby installations and weakening thereafter. SSC intensity is positively associated with adoption rates in both cross-sectional and temporal analyses. However, the relationship between SSC range and adoption changes over time - in early diffusion phases, adoption growth is associated with range expansion, whereas in later phases it is associated with range contraction. This shift reflects a transition from clustering to consolidation of installations. These findings highlight the potential of seeding interventions to accelerate PV diffusion in off-grid regions.",2026-05-10T16:36:54Z
wiki_employment_law,wikipedia,legal,Labour law,"
Labour laws, labour code or employment laws are laws that mediate the relationship between workers, employing entities, trade unions, and the government. Collective labour law relates to the tripartite relationship between employee, employer, and union.",
pubmed_42106873,pubmed,medical,Perceived barriers to accessing vaccination plans in pregnant women in Chile: a qualitative analysis.,"Perceived barriers to accessing vaccination plans in pregnant women in Chile: a qualitative analysis.

Vaccination is widely recognized as a cost-effective public health intervention. However, vaccination rates among pregnant women have been decreasing globally, especially in contexts of structural social and health inequalities. Hence, the purpose of this study was to unveil access barriers to vaccination plans and vaccine hesitancy among pregnant women, both locals and international migrants, in three large cities in Chile.",2026
